Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-05-01,95,0,95,122842,120614,2228
South West,E12000009,Region,2020-05-01,5,,,6405,,
South East,E12000008,Region,2020-05-01,11,,,17324,,
London,E12000007,Region,2020-05-01,3,,,24700,,
East of England,E12000006,Region,2020-05-01,7,,,10785,,
West Midlands,E12000005,Region,2020-05-01,10,,,13402,,
East Midlands,E12000004,Region,2020-05-01,7,,,7004,,
Yorkshire and The Humber,E12000003,Region,2020-05-01,45,,,10598,,
North West,E12000002,Region,2020-05-01,2,,,19435,,
North East,E12000001,Region,2020-05-01,0,,,7941,,
Worcestershire,E10000034,Upper tier local authority,2020-05-01,0,,,1161,,
West Sussex,E10000032,Upper tier local authority,2020-05-01,0,,,1154,,
Warwickshire,E10000031,Upper tier local authority,2020-05-01,0,,,1186,,
Surrey,E10000030,Upper tier local authority,2020-05-01,0,,,2588,,
Suffolk,E10000029,Upper tier local authority,2020-05-01,0,,,1076,,
Staffordshire,E10000028,Upper tier local authority,2020-05-01,2,,,1766,,
Somerset,E10000027,Upper tier local authority,2020-05-01,0,,,506,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-01,0,,,1561,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-01,0,,,1134,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-01,4,,,974,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-01,0,,,1047,,
Norfolk,E10000020,Upper tier local authority,2020-05-01,6,,,1607,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-01,0,,,855,,
Leicestershire,E10000018,Upper tier local authority,2020-05-01,1,,,946,,
Lancashire,E10000017,Upper tier local authority,2020-05-01,0,,,2824,,
Kent,E10000016,Upper tier local authority,2020-05-01,0,,,3379,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-01,0,,,2319,,
Hampshire,E10000014,Upper tier local authority,2020-05-01,5,,,2827,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-01,0,,,1228,,
Essex,E10000012,Upper tier local authority,2020-05-01,1,,,2615,,
East Sussex,E10000011,Upper tier local authority,2020-05-01,1,,,588,,
Devon,E10000008,Upper tier local authority,2020-05-01,2,,,712,,
Derbyshire,E10000007,Upper tier local authority,2020-05-01,4,,,1303,,
Cumbria,E10000006,Upper tier local authority,2020-05-01,0,,,1914,,
Cambridgeshire,E10000003,Upper tier local authority,2020-05-01,0,,,768,,
Buckinghamshire,E10000002,Upper tier local authority,2020-05-01,0,,,836,,
Westminster,E09000033,Upper tier local authority,2020-05-01,0,,,601,,
Wandsworth,E09000032,Upper tier local authority,2020-05-01,0,,,921,,
Waltham Forest,E09000031,Upper tier local authority,2020-05-01,0,,,724,,
Tower Hamlets,E09000030,Upper tier local authority,2020-05-01,0,,,600,,
Sutton,E09000029,Upper tier local authority,2020-05-01,0,,,667,,
Southwark,E09000028,Upper tier local authority,2020-05-01,0,,,1201,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-05-01,0,,,367,,
Redbridge,E09000026,Upper tier local authority,2020-05-01,0,,,678,,
Newham,E09000025,Upper tier local authority,2020-05-01,0,,,952,,
Merton,E09000024,Upper tier local authority,2020-05-01,0,,,654,,
Lewisham,E09000023,Upper tier local authority,2020-05-01,0,,,925,,
Lambeth,E09000022,Upper tier local authority,2020-05-01,0,,,1139,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-05-01,0,,,450,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-05-01,0,,,462,,
Islington,E09000019,Upper tier local authority,2020-05-01,0,,,414,,
Hounslow,E09000018,Upper tier local authority,2020-05-01,0,,,653,,
Hillingdon,E09000017,Upper tier local authority,2020-05-01,0,,,726,,
Havering,E09000016,Upper tier local authority,2020-05-01,0,,,634,,
Harrow,E09000015,Upper tier local authority,2020-05-01,0,,,936,,
Haringey,E09000014,Upper tier local authority,2020-05-01,0,,,547,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-05-01,0,,,610,,
Hackney,E09000012,Upper tier local authority,2020-05-01,1,,,606,,
Greenwich,E09000011,Upper tier local authority,2020-05-01,0,,,638,,
Enfield,E09000010,Upper tier local authority,2020-05-01,0,,,833,,
Ealing,E09000009,Upper tier local authority,2020-05-01,0,,,1066,,
Croydon,E09000008,Upper tier local authority,2020-05-01,1,,,1384,,
Camden,E09000007,Upper tier local authority,2020-05-01,0,,,576,,
Bromley,E09000006,Upper tier local authority,2020-05-01,0,,,1079,,
Brent,E09000005,Upper tier local authority,2020-05-01,0,,,1354,,
Bexley,E09000004,Upper tier local authority,2020-05-01,0,,,622,,
Barnet,E09000003,Upper tier local authority,2020-05-01,0,,,1209,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-05-01,1,,,456,,
City of London,E09000001,Upper tier local authority,2020-05-01,0,,,16,,
Gateshead,E08000037,Upper tier local authority,2020-05-01,0,,,837,,
Wakefield,E08000036,Upper tier local authority,2020-05-01,5,,,535,,
Leeds,E08000035,Upper tier local authority,2020-05-01,3,,,1434,,
Kirklees,E08000034,Upper tier local authority,2020-05-01,1,,,572,,
Calderdale,E08000033,Upper tier local authority,2020-05-01,2,,,245,,
Bradford,E08000032,Upper tier local authority,2020-05-01,3,,,915,,
Wolverhampton,E08000031,Upper tier local authority,2020-05-01,0,,,850,,
Walsall,E08000030,Upper tier local authority,2020-05-01,0,,,970,,
Solihull,E08000029,Upper tier local authority,2020-05-01,0,,,571,,
Sandwell,E08000028,Upper tier local authority,2020-05-01,0,,,1023,,
Dudley,E08000027,Upper tier local authority,2020-05-01,1,,,774,,
Coventry,E08000026,Upper tier local authority,2020-05-01,0,,,665,,
Birmingham,E08000025,Upper tier local authority,2020-05-01,0,,,2869,,
Sunderland,E08000024,Upper tier local authority,2020-05-01,0,,,1170,,
South Tyneside,E08000023,Upper tier local authority,2020-05-01,0,,,568,,
North Tyneside,E08000022,Upper tier local authority,2020-05-01,0,,,478,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-01,0,,,929,,
Sheffield,E08000019,Upper tier local authority,2020-05-01,18,,,2170,,
Rotherham,E08000018,Upper tier local authority,2020-05-01,2,,,720,,
