Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-15,0,153
Worcestershire,E10000034,Upper tier local authority,2020-04-15,0,718
Wolverhampton,E08000031,Upper tier local authority,2020-04-15,0,501
Wokingham,E06000041,Upper tier local authority,2020-04-15,0,201
Wirral,E08000015,Upper tier local authority,2020-04-15,0,623
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-15,0,163
Wiltshire,E06000054,Upper tier local authority,2020-04-15,0,271
Wigan,E08000010,Upper tier local authority,2020-04-15,0,354
Westminster,E09000033,Upper tier local authority,2020-04-15,0,510
West Sussex,E10000032,Upper tier local authority,2020-04-15,0,679
West Berkshire,E06000037,Upper tier local authority,2020-04-15,2,186
Warwickshire,E10000031,Upper tier local authority,2020-04-15,0,742
Warrington,E06000007,Upper tier local authority,2020-04-15,0,372
Wandsworth,E09000032,Upper tier local authority,2020-04-15,0,766
Waltham Forest,E09000031,Upper tier local authority,2020-04-15,3,586
Walsall,E08000030,Upper tier local authority,2020-04-15,0,609
Wakefield,E08000036,Upper tier local authority,2020-04-15,0,344
Trafford,E08000009,Upper tier local authority,2020-04-15,0,402
Tower Hamlets,E09000030,Upper tier local authority,2020-04-15,1,517
Torbay,E06000027,Upper tier local authority,2020-04-15,0,107
Thurrock,E06000034,Upper tier local authority,2020-04-15,0,207
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-15,0,143
Tameside,E08000008,Upper tier local authority,2020-04-15,0,320
Swindon,E06000030,Upper tier local authority,2020-04-15,0,200
Sutton,E09000029,Upper tier local authority,2020-04-15,0,500
Surrey,E10000030,Upper tier local authority,2020-04-15,0,1739
Sunderland,E08000024,Upper tier local authority,2020-04-15,0,729
Suffolk,E10000029,Upper tier local authority,2020-04-15,0,527
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-15,3,240
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-15,0,217
Stockport,E08000007,Upper tier local authority,2020-04-15,6,549
Staffordshire,E10000028,Upper tier local authority,2020-04-15,6,1051
St. Helens,E08000013,Upper tier local authority,2020-04-15,1,407
Southwark,E09000028,Upper tier local authority,2020-04-15,0,1001
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-15,0,229
Southampton,E06000045,Upper tier local authority,2020-04-15,3,301
South Tyneside,E08000023,Upper tier local authority,2020-04-15,0,251
South Gloucestershire,E06000025,Upper tier local authority,2020-04-15,0,223
Somerset,E10000027,Upper tier local authority,2020-04-15,0,248
Solihull,E08000029,Upper tier local authority,2020-04-15,0,372
Slough,E06000039,Upper tier local authority,2020-04-15,0,262
Shropshire,E06000051,Upper tier local authority,2020-04-15,0,287
Sheffield,E08000019,Upper tier local authority,2020-04-15,17,1412
Sefton,E08000014,Upper tier local authority,2020-04-15,0,560
Sandwell,E08000028,Upper tier local authority,2020-04-15,1,624
Salford,E08000006,Upper tier local authority,2020-04-15,0,379
Rutland,E06000017,Upper tier local authority,2020-04-15,0,12
Rotherham,E08000018,Upper tier local authority,2020-04-15,2,407
Rochdale,E08000005,Upper tier local authority,2020-04-15,0,278
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-15,0,297
