postcodes
AB10 1HW
AB10 1QS
AB10 1TS
AB10 6BL
AB10 6DA
AB10 6PA
AB10 6XL
AB10 7AY
AB10 7FP
AB10 7QA
AB11 6BB
AB11 6BE
AB11 6DB
AB11 6NB
AB11 9DT
AB11 9NQ
AB12 3DN
AB12 3ZR
AB12 4XP
AB12 5BT
AB14 0UQ
AB15 5JB
AB15 6HY
AB15 6LT
AB15 9SX
AB16 5PY
AB16 7GD
AB16 7LL
AB21 0ET
AB21 7DL
AB21 7NG
AB21 9LZ
AB22 8HB
AB22 8WQ
AB24 1SA
AB24 1XZ
AB24 2AX
AB24 3SE
AB24 4HA
AB24 5DA
AB24 5EZ
AB25 1EP
AB25 1HZ
AB25 1NX
AB25 2YE
AB25 3AD
AB25 3SA
AB25 3TB
AB30 1AA
AB31 5QA
AB31 5YR
AB32 6TJ
AB32 6UF
AB32 6UL
AB34 4YL
AB36 8UL
AB39 2BJ
AB39 2BU
AB39 3PX
AB41 7GX
AB41 9AZ
AB41 9RY
AB42 1HH
AB42 1PL
AB42 1PR
AB42 1RG
AB42 1ZP
AB42 2FY
AB42 2XX
AB42 4NH
AB42 4XL
AB42 5EH
AB42 5EL
AB42 5HN
AB42 7AU
AB43 7ED
AB43 7JQ
AB43 8TJ
AB43 8YJ
AB43 9ET
AB43 9NT
AB43 9TA
AB43 9TE
AB45 1AF
AB45 3YJ
AB51 0GZ
AB51 4JP
AB51 4RJ
AB51 4SR
AB53 4EN
AB54 6JB
AB54 8SX
AB54 8TS
AB55 5BL
AB55 5HB
AB56 1EJ
AB56 1PJ
AB56 4AD
AB56 4LN
AL1 2JZ
AL1 2PD
AL1 2QU
AL1 2RJ
AL1 3DU
AL1 4AP
AL1 4JL
AL1 4JS
AL1 4SU
AL1 4SY
AL1 4UZ
AL1 5PX
AL10 0JP
AL10 0QN
AL10 9HE
AL2 1AB
AL2 1JQ
AL2 1RR
AL2 2RA
AL3 4JZ
AL3 5AS
AL3 5EH
AL3 6DL
